Quote,Author,Sentiment
Life is what happens when you're busy making other plans,John Lennon,Negative
The purpose of our lives is to be happy,Dalai Lama,Positive
Get busy living or get busy dying,Stephen King,Positive
"You only live once, but if you do it right, once is enough",Mae West,Positive
Many of life’s failures are people who did not realize how close they were to success,Thomas Edison,Positive
Love the life you live. Live the life you love,Bob Marley,Positive
This is the worst product I have ever used,Anonymous,Negative
I am very happy with this service,Anonymous,Positive
The quality is bad and disappointing,Anonymous,Negative
This experience was amazing and wonderful,Anonymous,Positive
"Not good, not bad, just average",Anonymous,Negative
I hate waiting so long for delivery,Anonymous,Negative
The support team was very helpful,Anonymous,Positive
Terrible experience overall,Anonymous,Negative
I really enjoyed using this application,Anonymous,Positive
